Year,2010,2011,2012,2013,2014
Less than 10.0 percent,"1,743","1,094","2,350","1,791","1,481"
10.0 to 14.9 percent,"4,271","3,298","4,213","5,448","3,904"
15.0 to 19.9 percent,"5,512","5,995","6,739","6,796","5,520"
20.0 to 24.9 percent,"5,397","5,142","6,817","8,013","8,329"
25.0 to 29.9 percent,"4,313","5,354","6,693","5,809","6,002"
30.0 to 34.9 percent,"4,614","4,800","5,047","2,998","5,221"
35.0 to 39.9 percent,"1,898","3,608","2,612","3,144","3,220"
40.0 to 49.9 percent,"4,572","4,781","4,508","4,813","4,498"
50.0 percent or more,"13,128","14,359","12,477","12,084","14,802"
,,,,,
 GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,,,,,
2010 -2014  American Community Survey 1-Year Estimates ,,,,,
